articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc
2546733504,현대홈타운,매매,2/20,"12억 2,000",79,59,동향,"12억 2,000"
2547776817,현대홈타운,매매,중/20,14억,107,84,남동향,14억
2547593017,현대홈타운,매매,중/20,"14억 5,000",139,113,동향,"14억 8,000"
2546090472,현대홈타운,매매,9/20,"14억 2,000",139,113,동향,"14억 2,000"
2546928722,현대홈타운,매매,중/20,"14억 8,000",139,113,동향,"14억 8,000"
2548810931,현대홈타운,매매,고/20,15억,107,84,남서향,15억
2543815388,현대홈타운,매매,14/20,"15억 5,000",107,84,남동향,"15억 5,000"
2545743969,현대홈타운,매매,1/20,15억,139,113,남향,15억
2548649924,현대홈타운,전세,6/20,"5억 9,000",107,84,남동향,"5억 9,000"
2548096418,현대홈타운,매매,고/20,15억,107,84,남서향,15억
2547134424,현대홈타운,매매,13/20,14억,107,84,동향,14억
2544535906,현대홈타운,매매,3/20,14억,107,84,남서향,14억
2548928327,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2548936346,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548968126,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
