articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2614648919,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2615854108,래미안공덕3차,매매,중/20,22억,80,59,남서향,22억,616,20040830
2615852903,래미안공덕3차,전세,고/19,"9억 5,000",106,84,남동향,"9억 5,000",616,20040830
2615853622,래미안공덕3차,전세,고/20,7억,80,59,남서향,7억,616,20040830
2615741320,래미안공덕3차,매매,고/20,"21억 3,000",80,59,남서향,"21억 5,000",616,20040830
2615731924,래미안공덕3차,매매,고/20,22억,80,59,남서향,22억,616,20040830
2615608648,래미안공덕3차,매매,중/20,"21억 9,000",80,59,남서향,22억,616,20040830
2614530386,래미안공덕3차,매매,19/20,"21억 3,000",80,59,남동향,"21억 5,000",616,20040830
2613582023,래미안공덕3차,전세,중/20,12억,136,114,남동향,12억,616,20040830
2614551189,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2614121519,래미안공덕3차,매매,19/20,"21억 3,000",80,59,남서향,"21억 5,000",616,20040830
2613826984,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2615054074,래미안공덕3차,매매,중/20,22억,80,59,남동향,22억,616,20040830
2613576389,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2613956163,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2613631211,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2613377392,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2613411357,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2613411963,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2613414910,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2613207378,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2613313887,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2613265590,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2612951897,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2613033146,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2613018746,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2612766984,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2612763590,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2612602297,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2612600256,래미안공덕3차,매매,13/20,22억,80,59,남서향,22억,616,20040830
2612430694,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2612570999,래미안공덕3차,매매,1/20,"19억 8,000",80,59,남서향,"19억 8,000",616,20040830
2612456379,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2612311535,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2612189978,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2611893200,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2611825747,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2611615150,래미안공덕3차,매매,13/20,22억,80,59,남서향,22억,616,20040830
2611921171,래미안공덕3차,매매,중/20,22억,80,59,남서향,22억,616,20040830
2614554530,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2616998445,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617479685,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617537157,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617547376,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617417375,래미안공덕4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2617546449,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617536305,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617527725,래미안공덕4차,매매,5/20,23억,141,112,남동향,"23억 5,000",597,20051117
2617528493,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617533887,래미안공덕4차,전세,4/8,"7억 8,000",84,59,남동향,"7억 8,000",597,20051117
2617542728,래미안공덕4차,매매,5/20,25억,141,112,남동향,25억,597,20051117
